time,AssimLight,BlackScr,CO2air,Cum_irr,EC_drain_PC,EnScr,HumDef,PipeGrow,PipeLow,Rhair,Tair,Tot_PAR,Tot_PAR_Lamps,VentLee,Ventwind,assim_sp,assim_vip,co2_dos,co2_sp,co2_vip,dx_sp,dx_vip,int_blue_sp,int_blue_vip,int_farred_sp,int_farred_vip,int_red_sp,int_red_vip,int_white_sp,int_white_vip,pH_drain_PC,scr_blck_sp,scr_blck_vip,scr_enrg_sp,scr_enrg_vip,t_grow_min_sp,t_grow_min_vip,t_heat_sp,t_heat_vip,t_rail_min_sp,t_rail_min_vip,t_vent_sp,t_ventlee_vip,t_ventwind_vip,water_sup,water_sup_intervals_sp_min,water_sup_intervals_vip_min,window_pos_lee_sp,window_pos_lee_vip
1,0.0,100.0,540.6363635636363,2.86,7.935454545636364,100.0,3.2427272727272727,41.82727272272727,2.7727272845454545,86.40909091,25.681818181818183,0.002727272705818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.581818182090909,1.5909090914545454,0.0,,0.0,,0.0,,0.0,,5.570909090909091,100.0,100.0,100.0,100.0,39.90909095272727,39.636363679999995,24.981818185454543,24.981818185454543,0.0,0.0,32.0,32.0,32.0,22.0,1320.0,1320.0,0.0,0.0
2,0.0,100.0,560.9166666083333,1.6683333413249999,7.895000000166667,100.0,3.44500000025,40.891666664166664,2.858333333333334,85.62499999833334,25.749999999166665,0.0018750000209166665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,,0.0,,0.0,,0.0,,5.578333333250001,100.0,100.0,100.0,100.0,39.25000003666667,39.833333367499996,25.249999997499998,25.224999997499996,0.0,0.0,32.0,32.0,32.0,12.833333394833334,1320.0,1320.0,0.0,0.0
3,0.0,100.0,584.3076923076923,0.0,7.8784615385384615,100.0,3.3076923056923073,43.85384617,2.1846155315384617,85.94615385230769,25.423076922307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,,0.0,,0.0,,0.0,,5.586923076846154,100.0,100.0,100.0,100.0,43.15384615461539,43.30769228230769,25.161538466153846,25.169230776153846,0.0,0.0,32.0,32.0,32.0,0.0,1320.0,1320.0,0.0,0.0
4,0.0,100.0,604.4545454272728,0.0,7.88090909109091,100.0,3.443636364090909,42.554545500909086,18.48181805,85.28181818181818,25.327272729090907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,,0.0,,0.0,,0.0,,5.59,100.0,100.0,100.0,100.0,40.454545474545455,40.454545496363636,24.890909083636362,24.890909083636362,0.0,2.8181817236363638,32.0,32.0,32.0,0.0,1320.0,1320.0,0.0,0.0
5,0.0,100.0,617.8333334166667,0.0,7.851666666499999,100.0,3.6983333345833334,43.30833335666667,26.183333238333333,84.34999999749999,25.500000003333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,,0.0,,0.0,,0.0,,5.590833333333333,100.0,100.0,100.0,100.0,41.833333315833336,41.8333333225,25.183333335,25.2333333325,2.5833333333333335,2.6666666675,32.0,32.0,32.0,0.0,1320.0,1320.0,0.0,0.0
6,0.0,100.0,630.3846153615384,0.0,7.836923077,100.0,3.685384616846154,42.00000004538462,16.87692289076923,84.25384615076922,25.323076925384616,0.0,0.0,0.046153849269230766,0.007692308184615384,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,,0.0,,0.0,,0.0,,5.59846153853846,100.0,100.0,100.0,100.0,39.38461542384615,39.5384616,25.007692306153846,24.953846151538464,4.769230689230769,2.3846153046153846,32.0,32.0,32.0,0.0,1320.0,1320.0,0.1538461590076923,0.07692308207692308
7,0.0,50.409091143999994,640.1818181818181,0.0,7.864545454727272,99.93636363636364,3.6381818159090913,41.05454545181818,21.981818288181817,83.75454546363636,24.55454545454546,2.743102922363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5090909090909093,1.5090909090909093,0.0,,0.0,,0.0,,0.0,,5.606363636363636,31.809090960000002,34.08181830909091,99.92727272636363,99.93636363454544,40.54545455818182,40.18181818272728,24.472727275454545,24.481818184545453,5.818181818181818,8.545454634545454,32.0,32.0,32.0,0.0,1320.0,1320.0,0.0,0.0
8,0.0,0.0,640.9166666333333,0.0,7.8874999998333335,97.025000005,4.573333331833333,43.42499998416667,41.87499998916667,79.13333333916667,24.150000000000002,40.685479119166665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.833333333,1.8166666664166666,0.0,,0.0,,0.0,,0.0,,5.61333333325,0.0,0.0,96.8166666725,96.85833333916668,43.499999986666666,42.91666665333333,24.549999996666667,24.533333329166666,8.166666745,10.333333411666667,32.0,32.0,32.0,0.0,1320.0,1320.0,0.0,0.0
9,0.0,0.0,602.6153847846155,0.019999998692307692,7.824615384769231,95.4,5.909999995384615,40.0769231,41.953845968461536,75.36923078076923,25.738461532307692,155.90248054615384,0.0,0.0,0.0,0.0,0.0,0.0006427926153846154,0.0,0.0,2.2769230759230767,2.2584615375384614,0.0,,0.0,,0.0,,0.0,,5.606153846076923,0.0,0.0,95.4,95.4,37.307692356153844,37.76923081384616,25.36923077307692,25.323076927692306,27.538461404615383,29.999999859230766,32.0,32.0,32.0,0.15384614353846154,1220.769237423077,1220.769237423077,0.0,0.0
10,0.0,0.0,532.0909094727273,0.4018181826363636,7.828181817727272,84.10909090636363,6.640909088363636,18.027272823636363,16.645454765454545,74.85454546,27.481818179090908,289.32259076363636,0.0,0.0,0.0,0.0,0.0,0.0013800108181818182,0.0,0.0,2.4363636366363637,2.454545455090909,0.0,,0.0,,0.0,,0.0,,5.6045454545454545,0.0,0.0,84.10909090636363,84.10909090636363,14.181818104545455,17.45454557,26.518181816363633,26.499999999090907,11.636363632727273,14.636363834545454,32.0,32.0,32.0,3.0909090970000004,30.0,30.0,0.0,0.0
